"ISO","gdp_per_capita","lifeExp"
AF,-0.950565471644519,-0.371291029225493
AX,-0.999922176956837,-0.156057631237323
AL,-0.753862992767179,-0.186489001871268
DZ,-0.663918631181684,-0.258319622658632
AS,-0.655893455814381,-1
AD,-0.179492385787272,-0.988762418525131
AO,-0.810154713723004,-0.472968666410109
AI,-0.517507932290988,-0.966287255575392
AG,-0.481152005680375,-0.20264864403213
AR,-0.542722528968996,-0.198704252934451
AM,-0.805439039857423,-0.218302595026623
AW,-0.0657218176675392,-0.20825619718809
AU,0.110818863967007,-0.129132386023536
AT,0.117720494938463,-0.144404259247883
AZ,-0.567665957964995,-0.261095305282925
BS,-0.404149538028009,-0.210705989949612
BH,0.0837470418600703,-0.195299265747566
BD,-0.935903646765461,-0.262174113104513
BB,-0.60593113242824,-0.209211391613454
BY,-0.557122273613705,-0.270366309999692
BE,0.0196884317006867,-0.151023194736581
BZ,-0.782374245890812,-0.225932912848059
BJ,-0.955020998444708,-0.389462198470356
BM,0.426328034237359,-0.786485951977485
BT,-0.799985962079334,-0.288728518129629
BO,-0.846754816825899,-0.300348177374643
BA,-0.759741869233254,-0.197973810138585
BW,-0.616372564451086,-0.521593681451868
BR,-0.623128931344023,-0.225314845866942
VG,0.264368994541881,-0.71906046312827
BN,0.768373754269165,-0.173509595267795
BG,-0.586469619928085,-0.229675027479191
BF,-0.958753743472676,-0.423017616754315
BI,-0.980364809270273,-0.448189799258022
KH,-0.922757778472091,-0.248025998027652
CM,-0.932420240531897,-0.437390483460673
CA,0.0620649111508729,-0.140527293639053
CV,-0.83982762538772,-0.212324201681993
KY,0.288887454595665,-0.617922229854447
CF,-0.984743136928115,-0.492297306546884
TD,-0.947201933974001,-0.48102601232759
CL,-0.435083843813018,-0.157687080551179
CN,-0.701095882551926,-0.209649657290974
CX,-0.998806713338166,-0.550496741005232
CC,-0.998780772323778,-0.539259159530363
CO,-0.687186031730097,-0.22417985013798
KM,-0.960609946498139,-0.372111372673158
CD,-0.98772685557559,-0.494724624145456
CG,-0.850981080919857,-0.395496779722361
CK,-0.539649497049025,-0.483071252156017
CR,-0.655830051779609,-0.15796802008805
CI,-0.925566622896479,-0.48619529980603
HR,-0.488796408520224,-0.190354729898623
CU,-0.481734341494492,-0.165474724513263
CY,-0.273322648383738,-0.158968164839314
CZ,-0.313546711747868,-0.183140202591757
DK,0.0799014404734506,-0.164058789247429
DJ,-0.93485085618666,-0.361694134645954
DM,-0.745836310663895,-0.381933018882194
DO,-0.709314194463998,-0.231326951955997
EC,-0.736737936646881,-0.196838814409623
EG,-0.725108948919715,-0.256555322367078
SV,-0.804547271421357,-0.240350729880316
GQ,-0.0943588039221557,-0.459899359154836
ER,-0.96999122814286,-0.349883436515867
EE,-0.343543910390243,-0.219651104803607
ET,-0.966142907395053,-0.341084410221044
FO,0.0245335323755909,-0.280794785608371
FK,-0.32292445725463,-0.269557204133502
FJ,-0.799798306578729,-0.271692344613727
FI,-0.0313570775669264,-0.151169283295755
FR,-0.0657754921497039,-0.136841366915296
GF,-0.787238589729403,-0.189534386450958
PF,-0.307322689173184,-0.199243656845245
GA,-0.508486747591176,-0.342826235349649
GM,-0.957814762877236,-0.395215840185489
GE,-0.820830723061312,-0.221224366210089
DE,0.0720366575675688,-0.148831866348982
GH,-0.903317968558628,-0.369212076652642
GI,0.0566600978954745,-0.14594380790994
GR,-0.369106879197686,-0.14852845164916
